canonical_id,canonical_name,variant_id,variant_name,relation,effective_start,effective_end,source,decided_by,date_curated,reviewed_by,notes
1151,WÎHKWÊNTÔWIN,1150,OLIVER,rename,2025-01-01,,Edmonton Naming Committee 2024 Annual Report (eScribe DocumentId 251214),KC,2026-06-22,,Council rename. Internal systems 2024-10-30 (= boundary Effective Start Date for 1151); ETS 2024-09-01. Old id 1150 absent from current boundary; new-id-wins.
5471,CHAPPELLE,5462,CHAPPELLE,renumber,,,City of Edmonton 2026 boundary file (dataset 65fr-66s6); 08c one-shot + 07 merge contract,KC,2026-06-22,,Old id 5462 absent from current boundary; 1:1 renumber to 5471. City did not publish a precise effective date.
5471,CHAPPELLE,,CHAPPELLE AREA,suffix_drift,,,Legacy rescue mapping neighbourhood_name_mappings_20260519.csv (sourced therein),KC,2026-06-22,,Assessment carries developing-area AREA suffix; City drops it at finalization. Resolves to 5471.
5472,HERITAGE VALLEY TOWN CENTRE,5464,HERITAGE VALLEY TOWN CENTRE,renumber,,,City of Edmonton 2026 boundary file (dataset 65fr-66s6); 08c one-shot + 07 merge contract,KC,2026-06-22,,Old id 5464 absent from current boundary; renumber to 5472.
5472,HERITAGE VALLEY TOWN CENTRE,,HERITAGE VALLEY TOWN CENTRE AREA,merge,,,City of Edmonton 2026 boundary file (dataset 65fr-66s6); 08c one-shot + 07 merge contract,KC,2026-06-22,,"AREA (NA-id, ~577 props) + native TOWN CENTRE (5472, ~15) are one City polygon; point-in-polygon 619/620 in 5472. Pool rows then re-aggregate; do not average two summaries."
3370,RAPPERSWILL,,RAPPERSWIL,typo,,,Legacy rescue mapping neighbourhood_name_mappings_20260519.csv (sourced therein),KC,2026-06-22,,Assessment single-L is the typo; canonical double-L per boundary 3370.
5405,RIVER VALLEY WINDERMERE,,RIVER VALLEY WINDEMERE,typo,,,Legacy rescue mapping neighbourhood_name_mappings_20260519.csv (sourced therein),KC,2026-06-22,,Scoped to the River Valley name; distinct from WINDERMERE 5570. Assessment 'Windemere' missing the R is the typo.
5540,WESTBROOK ESTATES,,WESTBROOK ESTATE,typo,,,Legacy rescue mapping neighbourhood_name_mappings_20260519.csv (sourced therein),KC,2026-06-22,,Assessment singular is the typo; canonical plural per boundary 5540.
6665,ANTHONY HENDAY SOUTH EAST,,ANTHONY HENDAY SOUTHEAST,alias,,,Legacy rescue mapping neighbourhood_name_mappings_20260519.csv (sourced therein),KC,2026-06-22,,"Spacing variant (Southeast vs South East); both valid, not a misspelling, hence alias."
6690,SOUTHEAST INDUSTRIAL,,SOUTHEAST (ANNEXED) INDUSTRIAL,alias,,,Legacy rescue mapping neighbourhood_name_mappings_20260519.csv (sourced therein),KC,2026-06-22,,Assessment inserts '(ANNEXED)' post-2022 annexation; canonical 6690 has no parenthetical. Non-residential (industrial).
,,8885,EDMONTON SOUTH CENTRAL EAST,container_exclude,,,City of Edmonton 2026 boundary file (dataset 65fr-66s6): umbrella/annexation-container rows,KC,2026-06-22,,"Umbrella aggregation polygon, not a real neighbourhood; drop before join."
,,8886,EDMONTON SOUTH EAST,container_exclude,,,City of Edmonton 2026 boundary file (dataset 65fr-66s6): umbrella/annexation-container rows,KC,2026-06-22,,"Umbrella aggregation polygon, not a real neighbourhood; drop before join."
,,8887,EDMONTON SOUTH CENTRAL,container_exclude,,,City of Edmonton 2026 boundary file (dataset 65fr-66s6): umbrella/annexation-container rows,KC,2026-06-22,,"Umbrella aggregation polygon, not a real neighbourhood; drop before join."
,,8888,EDMONTON SOUTH WEST,container_exclude,,,City of Edmonton 2026 boundary file (dataset 65fr-66s6): umbrella/annexation-container rows,KC,2026-06-22,,"Umbrella aggregation polygon, not a real neighbourhood; drop before join."
